index,repo,repoType,sizeUsers,developers,reporters,mergers,reviewers,commenters,cheerleaders,developer_actions,reporter_actions,merger_actions,reviewer_actions,commenter_actions,cheerleader_actions,developer_actions_perc,reporter_actions_perc,merger_actions_perc,reviewer_actions_perc,commenter_actions_perc,cheerleader_actions_perc
63,sindresorhus/figures,User,30,14,15,10,1,11,2,93,32,13,6,65,6,0.4326,0.1488,0.0605,0.0279,0.3023,0.0279
64,sindresorhus/negative-array,User,16,8,4,4,2,5,1,45,4,4,6,15,1,0.6000,0.0533,0.0533,0.0800,0.2000,0.0133
65,sindresorhus/electron-reloader,User,27,6,8,2,2,10,11,24,11,2,14,20,13,0.2857,0.1310,0.0238,0.1667,0.2381,0.1548
66,cloudinary/cloudinary_npm,Organization,560,59,174,32,19,161,286,623,400,174,734,733,413,0.2025,0.1300,0.0565,0.2385,0.2382,0.1342
67,Klemen1337/node-thermal-printer,User,193,28,108,2,3,76,32,88,194,22,11,321,43,0.1296,0.2857,0.0324,0.0162,0.4728,0.0633
68,mysticatea/cpx,User,247,13,39,4,2,51,179,118,72,7,2,107,213,0.2274,0.1387,0.0135,0.0039,0.2062,0.4104
69,sindresorhus/ky-universal,User,30,10,16,7,5,9,13,42,37,8,73,62,40,0.1603,0.1412,0.0305,0.2786,0.2366,0.1527
70,flexdinesh/npm-module-boilerplate,User,12,3,5,1,0,3,5,20,9,1,0,11,9,0.4000,0.1800,0.0200,0.0000,0.2200,0.1800
71,sindresorhus/eslint-formatter-pretty,User,31,18,13,14,8,8,9,92,30,23,51,67,12,0.3345,0.1091,0.0836,0.1855,0.2436,0.0436
72,sindresorhus/conduct,User,18,11,5,8,5,5,9,45,5,10,53,29,12,0.2922,0.0325,0.0649,0.3442,0.1883,0.0779
73,jkrup/meteor-now,User,144,13,52,4,1,70,81,239,191,34,10,297,171,0.2537,0.2028,0.0361,0.0106,0.3153,0.1815
74,kenshinji/yddict,User,18,11,9,1,2,4,2,103,23,12,15,28,2,0.5628,0.1257,0.0656,0.0820,0.1530,0.0109
75,nobrainr/typescript-webpack-starter,Organization,28,8,14,1,1,3,11,276,24,20,3,22,17,0.7624,0.0663,0.0552,0.0083,0.0608,0.0470
76,sindresorhus/electron-timber,User,15,3,8,3,4,6,10,50,25,8,47,52,22,0.2451,0.1225,0.0392,0.2304,0.2549,0.1078
77,sindresorhus/terminal-link,User,15,8,5,6,4,6,3,30,10,7,12,19,3,0.3704,0.1235,0.0864,0.1481,0.2346,0.0370
78,lucagrulla/node-tail,User,131,31,52,6,0,41,37,252,115,29,0,216,46,0.3830,0.1748,0.0441,0.0000,0.3283,0.0699
79,fulls1z3/ngx-meta,User,151,6,54,4,2,59,76,333,140,38,7,301,110,0.3584,0.1507,0.0409,0.0075,0.3240,0.1184
80,shuiRong/vue-drag-tree,User,33,10,21,2,1,5,7,62,33,6,3,32,9,0.4276,0.2276,0.0414,0.0207,0.2207,0.0621
81,sindresorhus/react-router-util,User,17,6,5,5,4,7,5,40,15,6,28,31,10,0.3077,0.1154,0.0462,0.2154,0.2385,0.0769
82,sindresorhus/alfred-emoj,User,38,4,21,1,2,13,13,31,48,3,17,64,16,0.1732,0.2682,0.0168,0.0950,0.3575,0.0894
83,Rob--/memoryjs,User,85,12,40,1,0,39,47,135,140,8,0,213,92,0.2296,0.2381,0.0136,0.0000,0.3622,0.1565
84,squirrellyjs/squirrelly,Organization,137,56,29,2,3,83,38,746,231,81,64,394,71,0.4701,0.1456,0.0510,0.0403,0.2483,0.0447
85,aravindnc/A-to-Z-List-of-Useful-Node.js-Modules,User,12,10,0,3,2,4,3,62,0,12,15,8,3,0.6200,0.0000,0.1200,0.1500,0.0800,0.0300
86,sindresorhus/alfred-npms,User,31,6,15,5,5,11,12,57,38,12,33,87,21,0.2298,0.1532,0.0484,0.1331,0.3508,0.0847
87,sindresorhus/grunt-php,User,90,20,47,4,0,40,1,142,96,5,0,153,2,0.3568,0.2412,0.0126,0.0000,0.3844,0.0050
88,wcoder/highlightjs-line-numbers.js,User,87,14,50,1,2,20,22,131,99,14,16,106,40,0.3227,0.2438,0.0345,0.0394,0.2611,0.0985
89,wasmerio/wasmer-js,Organization,39,13,26,3,8,12,18,880,199,134,547,157,107,0.4348,0.0983,0.0662,0.2703,0.0776,0.0529
90,sindresorhus/class-names,User,4,2,2,1,0,1,1,9,3,1,0,3,1,0.5294,0.1765,0.0588,0.0000,0.1765,0.0588
91,sindresorhus/bitbar,User,21,10,10,6,3,6,6,65,20,9,26,26,8,0.4221,0.1299,0.0584,0.1688,0.1688,0.0519
92,sindresorhus/electron-serve,User,28,7,13,5,2,13,9,30,23,8,14,43,13,0.2290,0.1756,0.0611,0.1069,0.3282,0.0992
93,sindresorhus/term-img,User,15,5,6,4,3,3,8,33,9,5,8,8,9,0.4583,0.1250,0.0694,0.1111,0.1111,0.1250
94,tinify/tinify-nodejs,Organization,43,3,25,0,0,14,11,67,39,0,0,38,14,0.4241,0.2468,0.0000,0.0000,0.2405,0.0886
95,crewdevio/Trex,Organization,9,3,7,3,3,3,5,319,30,39,33,15,9,0.7169,0.0674,0.0876,0.0742,0.0337,0.0202
96,shelfio/jest-mongodb,Organization,113,15,35,3,3,34,62,493,63,174,24,92,83,0.5307,0.0678,0.1873,0.0258,0.0990,0.0893
97,kabirvirji/singlespotify,User,4,3,1,1,0,1,0,82,1,1,0,3,0,0.9425,0.0115,0.0115,0.0000,0.0345,0.0000
98,darlanrod/input-range-scss,User,21,11,9,1,0,2,6,24,16,5,0,23,11,0.3038,0.2025,0.0633,0.0000,0.2911,0.1392
99,dalenguyen/firestore-backup-restore,User,67,15,35,1,1,17,25,95,75,26,2,101,37,0.2827,0.2232,0.0774,0.0060,0.3006,0.1101
